"model_id","models","RMSE_train","MAE_train","RMSE_test","MAE_test","RMSE_train_escala_original","MAE_train_escala_original","RMSE_test_escala_original","MAE_test_escala_original","times"
1,"MERT time only + intercept",0.922068167984897,0.764776713717573,2.82510585429181,1.4078123063248,1795901.49506143,219151.803036236,555410.420845949,190901.090588083,91.0915534496307
15,"Regression Tree time only",0.922068167984897,0.764776713717573,2.82510585429181,1.4078123063248,1795901.49506143,219151.803036236,555410.420845949,190901.090588083,0.00444912910461426
16,"Random Forests time only",0.915324187634957,0.759943432537862,2.82703263116871,1.40690550089967,1887516.01848714,224054.915552106,571776.908032544,193943.902620831,0.0526034832000732
5,"MERF time only + intercept",0.915332608160339,0.759591430621741,2.82774958799209,1.40665641187357,1892757.60332464,224396.827669967,578207.163226713,195018.755723579,155.860366106033
9,"Regression Tree all",0.721542498590495,0.572983990385982,2.78879546501386,1.34643147225698,1377189.53436806,158112.51588966,857211.901238821,215886.189839694,0.0403563976287842
10,"Random Forests all",0.470724211288875,0.377804200575763,2.75894813439105,1.28584187667117,1031585.71318141,113839.710889052,882189.633283621,206637.699772539,0.200928688049316
13,"MERT time + intercept + slope + quadratic",0.661004602828976,0.511607347017862,2.79126786326211,1.26610320407995,1164929.62202516,135776.965460187,1490388.07160347,241553.395672507,136.957942485809
14,"MERF time + intercept + slope + quadratic",0.65386137828552,0.506614688483211,2.76875873890753,1.24824472188727,1311937.78282715,144091.52351141,1786976.9417285,255691.531814352,250.688576698303
12,"MERF all + intercept + slope + quadratic",0.358906535486135,0.271743833708775,2.79784621185907,1.3146074661708,677909.585991872,77175.3179228766,1892732.78610889,278997.856889151,89.1001515388489
6,"MERF time only + intercept + slope",0.743098305181213,0.59190035023553,2.69105271618256,1.18190124771347,1336644.8449085,155083.795111853,2029386.01813514,263988.251008079,180.459552526474
2,"MERT time only + intercept + slope",0.753023213905959,0.598872879651835,2.68892958286102,1.17857222431023,1219867.46626913,152048.832141142,2031041.1367397,263330.74235796,91.7097089290619
7,"MERF all + intercept + slope",0.406794862401799,0.317049986497843,2.68383386077991,1.18426169300138,712676.898640235,84689.8351648502,2612346.48114774,303024.983065266,50.5878078937531
8,"MERF all + all",0.404867228871968,0.3154678631997,2.68788864783855,1.19366510455951,729740.89787323,86204.2861914187,2682442.7545725,309128.234838238,52.558806180954
4,"MERT all + all",0.665203275194387,0.52509270628155,2.71214729824412,1.25110425407097,1151839.44756687,138563.119170174,2779654.42846016,322768.206719434,63.0254459381104
3,"MERT all + intercept + slope",0.625053591599138,0.493129093433758,2.71081912224915,1.24109836446755,1240167.50748992,147055.657280741,2800382.25390518,324757.1173463,13.0029120445251
11,"MERT all + intercept + slope + quadratic",0.60030225854629,0.463644944464834,2.72134958653787,1.23849539533081,1338747.43014965,146706.635304813,3307641.00253307,373241.016551917,10.4449777603149
